y_label,headline,pub_date,snippet,web_url
0.0,Hurricanes' Svechnikov in Concussion Protocol,2019-04-16T16:55:33+0000,"Carolina Hurricanes rookie forward Andrei Svechnikov is in concussion protocol after being dropped by a punch from the Washington Capitals' Alex Ovechkin on Monday night, Hurricanes coach Rod Brind'Amour said Tuesday.",https://www.nytimes.com/reuters/2019/04/16/sports/hockey/16reuters-icehockey-nhl-wsh-car-svechnikov.html
0.0,‘It’s Making Us Less Prepared’: Shutdown Slows Planning for Hurricanes and Other Disasters,2019-01-18T10:00:09+0000,The partial government shutdown has kept storm researchers from updating forecast models and emergency managers from disaster training.,https://www.nytimes.com/2019/01/18/us/government-shutdown-hurricanes-disasters.html
0.0,Housing Vouchers Ending for Hurricane Michael Survivors,2019-04-11T18:05:57+0000,Hundreds of residents in the county hardest hit by Hurricane Michael are losing housing vouchers that allowed them to stay at hotels in the aftermath of the Category 4 storm.,https://www.nytimes.com/aponline/2019/04/11/us/ap-us-hurricane-michael-housing-vouchers.html
0.0,An Action Plan to Reduce Hurricane Havoc,2018-10-12T20:08:55+0000,A reader calls for upgrading our built environment as catastrophic weather events become more common.,https://www.nytimes.com/2018/10/12/opinion/letters/hurricane-michael.html
0.0,Capitals Survive Surge From Hurricanes to Win Game 1,2019-04-12T02:25:00+0000,"Nicklas Backstrom and Alex Ovechkin came out firing, the Carolina Hurricanes surged and the Washington Capitals showed why they're the defending Stanley Cup champions when it mattered most.",https://www.nytimes.com/aponline/2019/04/11/sports/hockey/ap-hkn-hurricanes-capitals.html
0.0,Jerk' Hurricanes Surge Into 1st Playoff Series Since 2009,2019-04-10T22:04:01+0000,They traded punches with Evander Holyfield. They dunked a basketball on ice. They flopped around like beached whales.,https://www.nytimes.com/aponline/2019/04/10/sports/hockey/ap-hkn-hurricanes-surge.html
0.0,"Hurricanes Top Flyers 4-3, Will Face Capitals in 1st Round",2019-04-09T15:55:25+0000,Jordan Staal scored the go-ahead goal in the second period and the Carolina Hurricanes hung on to beat the Philadelphia Flyers 4-3 on Saturday night for their fourth victory in five games.,https://www.nytimes.com/aponline/2019/04/09/sports/hockey/ap-hkn-hurricanes-flyers.html
0.0,NHL Roundup: Hurricanes Halt Caps' Playoff Win Streak,2019-04-16T06:01:06+0000,"Warren Foegele and Dougie Hamilton each scored two goals as the Carolina Hurricanes, despite being down to 10 forwards for most of the game, trounced the visiting Washington Capitals 5-0 in Game 3 of their first-round Eastern Conference playoff se...",https://www.nytimes.com/reuters/2019/04/16/sports/hockey/16reuters-icehockey-nhl-roundup.html
0.0,NHL Roundup: Hurricanes End Long Playoff Drought,2019-04-05T07:51:57+0000,"Justin Faulk scored the tiebreaking goal in the second period, and the Carolina Hurricanes went on to wrap up a playoff spot for the first time in a decade by defeating the visiting New Jersey Devils 3-1 in the regular-season home finale Thursday ...",https://www.nytimes.com/reuters/2019/04/05/sports/hockey/05reuters-icehockey-nhl-roundup.html
0.0,The Price of Fleeing Hurricane Michael: ‘We Are Going to Be Financially Devastated’,2018-10-13T09:00:06+0000,"We asked readers to tell us about the costs — financial, physical and emotional — of evacuating from the path of Hurricane Michael. ",https://www.nytimes.com/2018/10/13/reader-center/evacuation-hurricane-michael.html
0.0,City Admits Defrauding FEMA After Hurricane Sandy; Agrees to Pay $5.3 Million,2019-02-21T02:29:27+0000,"The city sought reimbursement for 132 vehicles it claimed were damaged in the 2012 storm, but some were broken or inoperable before Sandy.",https://www.nytimes.com/2019/02/20/nyregion/fema-hurricane-sandy-fraud.html
1.0,"Strengthening to Category 4, Hurricane Michael Aims at Florida",2018-10-09T23:22:37+0000,"The storm, expected to make landfall on Wednesday, is poised to be the most powerful hurricane to strike the mainland United States so far this year.",https://www.nytimes.com/2018/10/09/us/hurricane-michael-florida.html
1.0,Relief for Hurricane Harvey Survivors,2018-09-12T14:50:59+0000,A legal advocate discusses the obstacles posed by FEMA.,https://www.nytimes.com/2018/09/12/opinion/letters/hurricane-harvey-houston.html
